timestamp,symbol,raw_price,fair_price,fair_velocity,Q_scale,R_scale
2026-01-07T15:17:00+00:00,BTC/USDT,91298.69,90844.69353058179,2000.0,1.08,1.45
2026-01-07T15:18:00+00:00,BTC/USDT,91272.97,91315.30614212534,517.336891642344,1.1584,1.8775
2026-01-07T15:19:00+00:00,BTC/USDT,91101.65,91262.52783682253,195.2537230321949,1.235232,2.283625
2026-01-07T15:20:00+00:00,BTC/USDT,91164.74,91271.43032916247,121.73374756830252,1.3105273600000003,2.6694437499999997
2026-01-07T15:21:00+00:00,BTC/USDT,91193.99,91286.25618839372,89.35191658693645,1.3843168128000003,3.0359715624999994
2026-01-07T15:22:00+00:00,BTC/USDT,91295.44,91338.13987177539,80.08711956491454,1.4566304765440004,3.3841729843749992
2026-01-07T15:23:00+00:00,BTC/USDT,91287.11,91363.44381341759,68.50897379651391,1.5274978670131205,3.714964335156249
2026-01-07T15:24:00+00:00,BTC/USDT,91343.53,91398.17734149248,62.175987961587914,1.5969479096728583,4.029216118398436
2026-01-07T15:25:00+00:00,BTC/USDT,91304.04,91404.71120450264,52.62667202911885,1.665008951479401,4.327755312478514
2026-01-07T15:26:00+00:00,BTC/USDT,91194.75,91368.79175186041,38.3545065258546,1.731708772449813,4.611367546854588
2026-01-07T15:27:00+00:00,BTC/USDT,91145.22,91322.31113732216,25.246391910449343,1.7970745970008168,4.880799169511858
2026-01-07T15:28:00+00:00,BTC/USDT,91196.0,91299.86472476163,18.072421347429934,1.8611331050608007,5.136759211036265
2026-01-07T15:29:00+00:00,BTC/USDT,91281.37,91306.65354384299,16.401926353337046,1.9239104429595848,5.379921250484452
2026-01-07T15:30:00+00:00,BTC/USDT,91278.98,91309.62327330503,14.430447761197534,1.9854322341003932,5.6109251879602295
2026-01-07T15:31:00+00:00,BTC/USDT,91178.95,91280.14488149813,8.01236957093715,2.0457235894183854,5.830378928562218
2026-01-07T15:32:00+00:00,BTC/USDT,91155.63,91248.18339958577,2.178383305628733,2.1048091176300177,6.038859982134107
2026-01-07T15:33:00+00:00,BTC/USDT,91272.32,91256.98113088652,3.1442851335154214,2.1627129352774173,6.236916983027402
2026-01-07T15:34:00+00:00,BTC/USDT,91245.03,91255.56965092327,2.479195150440109,2.219458676571869,6.425071133876031
2026-01-07T15:35:00+00:00,BTC/USDT,91209.03,91243.22235332096,0.3131906647068341,2.2750695030404318,6.603817577182229
2026-01-07T15:36:00+00:00,BTC/USDT,91288.57,91257.19520880892,2.3102097264304278,2.329568112979623,6.773626698323118
2026-01-07T15:37:00+00:00,BTC/USDT,91466.22,91322.40026191314,11.511923782291406,2.382976750720031,6.934945363406961
2026-01-07T15:38:00+00:00,BTC/USDT,91374.55,91346.31643209067,13.327953999498781,2.43531721570563,7.088198095236613
2026-01-07T15:39:00+00:00,BTC/USDT,91205.96,91312.58287709691,6.433291240989199,2.486610871391518,7.233788190474781
2026-01-07T15:40:00+00:00,BTC/USDT,91323.54,91320.40584431845,6.637024137769939,2.5273552872056113,7.098290364055852
2026-01-07T15:41:00+00:00,BTC/USDT,91379.65,91343.67722859926,9.07817660278814,2.576808181461499,7.243375845853059
2026-01-07T15:42:00+00:00,BTC/USDT,91413.97,91371.99384044536,11.907506477714584,2.625272017832269,7.381207053560406
2026-01-07T15:43:00+00:00,BTC/USDT,91374.2,91380.86006661896,11.459214684233066,2.6727665774756235,7.49721404703605
2026-01-07T15:44:00+00:00,BTC/USDT,91378.99,91388.136360624,10.841400176281594,2.7193112459261113,7.622353344684248
2026-01-07T15:45:00+00:00,BTC/USDT,91367.77,91389.1798645019,9.391790372837072,2.7649250210075893,7.741235677450035
2026-01-07T15:46:00+00:00,BTC/USDT,91349.79,91383.23597238015,7.119750196943084,2.8096265205874373,7.854173893577533
2026-01-07T15:47:00+00:00,BTC/USDT,91347.79,91376.95029224457,5.131502849691001,2.8534339901756884,7.961465198898656
2026-01-07T15:48:00+00:00,BTC/USDT,91416.9,91393.06916261493,6.762601303216642,2.896365310372175,8.063391938953723
2026-01-07T15:49:00+00:00,BTC/USDT,91422.59,91407.02835861823,7.831817784310413,2.9384380041647313,8.160222342006037
2026-01-07T15:50:00+00:00,BTC/USDT,91475.32,91434.01869762952,10.680439633143893,2.9796692440814367,8.252211224905736
2026-01-07T15:51:00+00:00,BTC/USDT,91483.48,91457.01349019202,12.512833367527112,3.020075859199808,8.339600663660448
2026-01-07T15:52:00+00:00,BTC/USDT,91560.31,91498.41239184867,16.814538151165735,3.059674342015812,8.422620630477425
2026-01-07T15:53:00+00:00,BTC/USDT,91450.01,91494.43407921672,13.71550289031243,3.0984808551754957,8.501489598953553
2026-01-07T15:54:00+00:00,BTC/USDT,91440.0,91486.37866349144,10.467877586913993,3.1365112380719857,8.576415119005874
2026-01-07T15:55:00+00:00,BTC/USDT,91411.27,91469.45505200564,6.378128231443962,3.173781013310546,8.64759436305558
2026-01-07T15:56:00+00:00,BTC/USDT,91392.38,91449.0699154735,2.378450464384974,3.2103053930443353,8.715214644902801
2026-01-07T15:57:00+00:00,BTC/USDT,91340.81,91415.89953454636,-2.9392822570607366,3.2460992851834485,8.77945391265766
2026-01-07T15:58:00+00:00,BTC/USDT,91357.77,91395.19410093206,-5.599503150471107,3.2811772994797797,8.840481217024777
2026-01-07T15:59:00+00:00,BTC/USDT,91353.2,91377.85732667055,-7.358723875971098,3.315553753490184,8.898457156173539
2026-01-07T16:00:00+00:00,BTC/USDT,91349.96,91363.86288456188,-8.354298490531319,3.34924267842038,8.953534298364861
2026-01-07T16:01:00+00:00,BTC/USDT,91407.1,91372.20674844651,-5.846517835979176,3.3822578248519726,9.005857583446618
2026-01-07T16:02:00+00:00,BTC/USDT,91356.01,91363.0043793283,-6.351016076480598,3.414612668354933,9.055564704274287
2026-01-07T16:03:00+00:00,BTC/USDT,91394.4,91368.91305373961,-4.506116831862459,3.4463204149878344,9.102786469060572
2026-01-07T16:04:00+00:00,BTC/USDT,91472.86,91399.69101256339,0.808933947487362,3.4773940066880775,9.147647145607543
2026-01-07T16:05:00+00:00,BTC/USDT,91441.73,91413.93605964475,2.8349203932807443,3.507846126554316,9.190264788327166
2026-01-07T16:06:00+00:00,BTC/USDT,91457.73,91430.14060988388,4.852890002990409,3.5376892040232297,9.230751548910808
2026-01-07T16:07:00+00:00,BTC/USDT,91469.46,91446.26195683013,6.555400221156213,3.566935419942765,9.269213971465268
